feature,importance
cat__primaryGuest_address_countryCode_BS,0.0
cat__primaryGuest_address_countryCode_BJ,0.0
cat__primaryGuest_address_countryCode_DJ,0.0
cat__primaryGuest_address_countryCode_BB,0.0
cat__primaryGuest_address_countryCode_DO,0.0
cat__primaryGuest_address_countryCode_DZ,0.0
cat__primaryGuest_address_countryCode_EC,0.0
cat__primaryGuest_address_countryCode_BF,0.0
cat__primaryGuest_address_countryCode_FK,0.0
cat__primaryGuest_address_countryCode_FO,0.0
cat__primaryGuest_address_countryCode_IQ,0.0
cat__primaryGuest_preferredLanguage_za,0.0
cat__primaryGuest_address_countryCode_JM,0.0
cat__primaryGuest_address_countryCode_NA,0.0
cat__primaryGuest_address_countryCode_MT,0.0
cat__primaryGuest_address_countryCode_MU,0.0
cat__primaryGuest_address_countryCode_MV,0.0
cat__primaryGuest_preferredLanguage_it,0.0
cat__primaryGuest_address_countryCode_CF,0.0
cat__primaryGuest_address_countryCode_MZ,0.0
cat__primaryGuest_preferredLanguage_hu,0.0
cat__primaryGuest_preferredLanguage_ru,0.0
cat__primaryGuest_address_countryCode_NI,0.0
cat__primaryGuest_preferredLanguage_fr,0.0
cat__primaryGuest_address_countryCode_NP,0.0
cat__primaryGuest_preferredLanguage_fi,0.0
cat__primaryGuest_address_countryCode_PA,0.0
cat__primaryGuest_address_countryCode_PE,0.0
cat__primaryGuest_address_countryCode_MQ,0.0
cat__primaryGuest_address_countryCode_MO,0.0
cat__primaryGuest_address_countryCode_MM,0.0
cat__primaryGuest_address_countryCode_ML,0.0
cat__primaryGuest_address_countryCode_MG,0.0
cat__primaryGuest_address_countryCode_MC,0.0
cat__primaryGuest_address_countryCode_MA,0.0
cat__primaryGuest_preferredLanguage_ja,0.0
cat__primaryGuest_preferredLanguage_ko,0.0
cat__primaryGuest_address_countryCode_LK,0.0
cat__primaryGuest_address_countryCode_LA,0.0
cat__primaryGuest_preferredLanguage_lt,0.0
cat__primaryGuest_address_countryCode_KY,0.0
cat__primaryGuest_preferredLanguage_pl,0.0
cat__primaryGuest_address_countryCode_KP,0.0
cat__primaryGuest_address_countryCode_KH,0.0
cat__primaryGuest_address_countryCode_KE,0.0
cat__primaryGuest_address_countryCode_CV,0.0
